Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Default Suite,Chrome 106.0.0.0,,,2022-10-05 16:09:43,2022-10-05 16:09:56,12.983s,ERROR
,,,,,,,
Test Cases/MerchantBP/Default Suite/Placebet  Cashout,Chrome 106.0.0.0,,,2022-10-05 16:09:44,2022-10-05 16:09:56,12.515s,ERROR
"""----------------------------------------------------""",Chrome 106.0.0.0,,,2022-10-05 16:09:45,2022-10-05 16:09:45,0.002s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 106.0.0.0,,,2022-10-05 16:09:45,2022-10-05 16:09:45,0.000s,PASSED
"""Generated date: 05-Oct-2022 04:07:23 PM""",Chrome 106.0.0.0,,,2022-10-05 16:09:45,2022-10-05 16:09:45,0.001s,PASSED
"""File path: C:\Users\joseph.quinones\Desktop\SELENIUM IDE\00MerchantBPandCO.side""",Chrome 106.0.0.0,,,2022-10-05 16:09:45,2022-10-05 16:09:45,0.001s,PASSED
"""Generated by: joseph.quinones@inplaymatrix.com""",Chrome 106.0.0.0,,,2022-10-05 16:09:45,2022-10-05 16:09:45,0.002s,PASSED
"baseUrl = ""https://www.1652yabo.com:9976/""",Chrome 106.0.0.0,----------------------------------------------------,,2022-10-05 16:09:45,2022-10-05 16:09:45,0.001s,PASSED
"openBrowser("""")",Chrome 106.0.0.0,,,2022-10-05 16:09:45,2022-10-05 16:09:50,5.399s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 106.0.0.0,,,2022-10-05 16:09:50,2022-10-05 16:09:50,0.078s,PASSED
"selenium.open(""http://sfminitransferwallet2.inplaymatrix.com/?token=a288da0e-264e-48d0-9e7d-8a32da2108e6&languageCode=en"")",Chrome 106.0.0.0,open | http://sfminitransferwallet2.inplaymatrix.com/?token=a288da0e-264e-48d0-9e7d-8a32da2108e6&languageCode=en |  | ,,2022-10-05 16:09:50,2022-10-05 16:09:55,4.417s,PASSED
"""//selectFrame | index=0 |  | """,Chrome 106.0.0.0,,,2022-10-05 16:09:55,2022-10-05 16:09:55,0.001s,PASSED
"initialwallet = selenium.getText(""css=.row:nth-child(1) > .text-right"")",Chrome 106.0.0.0,storeText | css=.row:nth-child(1) > .text-right | initialwallet | ,,2022-10-05 16:09:55,2022-10-05 16:09:56,1.821s,ERROR
